"id_insee";"Commune";"nb_logmt";"jr_dispo.LTM";"jr_resa.LTM";"jr_block.LTM";"nb_resa.LTM";"rev.LTM_tot";"jr_r_lit_max";"nb_pieces_moy";"nb_pers_moy";"rev.LTM_moy_lgt";"rev.LTM_moy_nuit";"tx_occ";"jr_loc_moy"
"2B306";"Santa-Lucia-di-Mercurio";"15";"790";"701";"1958";"168";"67304";"3267";"2,80";"4,40";"4486,9";"96,0";"0,47";"4,17"
"2B307";"Santa-Lucia-di-Moriani";"178";"10116";"11027";"21216";"2678";"1403909";"56440";"2,69";"4,92";"7887,1";"127,3";"0,52";"4,12"
"2B309";"Santa-Maria-di-Lota";"107";"6211";"7244";"12748";"1961";"1475181";"38382";"3,03";"5,18";"13786,7";"203,6";"0,54";"3,69"
"2B311";"Santa-Maria-Poggio";"130";"7486";"8750";"13605";"1948";"955674";"42964";"2,88";"5,04";"7351,3";"109,2";"0,54";"4,49"
"2B313";"San-Nicolao";"264";"15626";"16392";"33013";"4098";"1926113";"84811";"2,68";"4,93";"7295,9";"117,5";"0,51";"4,00"
"2B314";"Santo-Pietro-di-Tenda";"50";"3167";"3274";"7416";"761";"487743";"14268";"2,94";"4,62";"9754,9";"149,0";"0,51";"4,30"
"2B315";"Santo-Pietro-di-Venaco";"14";"722";"889";"2320";"244";"74989";"3073";"2,50";"3,29";"5356,4";"84,4";"0,55";"3,64"
"2B316";"Santa-Reparata-di-Balagna";"167";"8304";"12135";"20868";"2566";"2387222";"62680";"3,18";"5,19";"14294,7";"196,7";"0,59";"4,73"
"2B317";"Santa-Reparata-di-Moriani";"1";"28";"39";"153";"4";"4246";"234";"4,00";"6,00";"4246,0";"108,9";"0,58";"9,75"
"2B318";"Taglio-Isolaccio";"58";"4108";"3965";"6310";"1014";"1115149";"23695";"3,36";"5,78";"19226,7";"281,2";"0,49";"3,91"
"2B319";"Talasani";"33";"2173";"2373";"3889";"670";"254200";"13610";"3,39";"5,73";"7703,0";"107,1";"0,52";"3,54"
"2B320";"Tallone";"7";"323";"355";"570";"79";"38194";"1914";"3,57";"5,29";"5456,3";"107,6";"0,52";"4,49"
"2B327";"Tomino";"25";"1660";"1522";"2509";"382";"222740";"7494";"2,92";"5,04";"8909,6";"146,3";"0,48";"3,98"
"2B328";"Tox";"3";"220";"151";"289";"49";"12508";"494";"2,67";"3,33";"4169,3";"82,8";"0,41";"3,08"
"2B329";"Tralonca";"13";"549";"1395";"2066";"360";"94005";"4816";"2,38";"3,54";"7231,2";"67,4";"0,72";"3,88"
"2B332";"Urtaca";"32";"2032";"2934";"3805";"590";"451880";"14372";"3,00";"4,66";"14121,2";"154,0";"0,59";"4,97"
"2B333";"Vallecalle";"16";"627";"814";"2826";"207";"189875";"4866";"3,19";"4,94";"11867,2";"233,3";"0,56";"3,93"
"2B334";"Valle-d'Alesani";"2";"32";"255";"443";"39";"56184";"1804";"4,50";"7,00";"28092,0";"220,3";"0,89";"6,54"
"2B335";"Valle-di-Campoloro";"27";"1264";"1452";"3342";"439";"163600";"7676";"3,04";"5,15";"6059,3";"112,7";"0,53";"3,31"
"2B337";"Valle-di-Rostino";"2";"98";"71";"508";"23";"4495";"348";"3,50";"5,00";"2247,5";"63,3";"0,42";"3,09"
"2B339";"Vallica";"2";"141";"64";"0";"11";"4770";"256";"3,00";"4,00";"2385,0";"74,5";"0,31";"5,82"
"2B341";"Venaco";"43";"2233";"2592";"6082";"682";"263757";"9747";"2,67";"3,79";"6133,9";"101,8";"0,54";"3,80"
"2B342";"Ventiseri";"142";"7456";"10135";"17196";"2215";"1507350";"56131";"3,42";"5,73";"10615,1";"148,7";"0,58";"4,58"
"2B343";"Venzolasca";"49";"2993";"3020";"5995";"691";"420824";"15591";"3,16";"5,41";"8588,2";"139,3";"0,50";"4,37"
"2B344";"Verdèse";"1";"27";"1";"62";"1";"92";"4";"2,00";"4,00";"92,0";"92,0";"0,04";"1,00"
"2B346";"Vescovato";"77";"4610";"3909";"8355";"1032";"657259";"21402";"2,86";"4,94";"8535,8";"168,1";"0,46";"3,79"
"2B347";"Vezzani";"8";"483";"467";"1285";"121";"31906";"2038";"2,62";"4,25";"3988,2";"68,3";"0,49";"3,86"
"2B350";"Vignale";"18";"893";"795";"1848";"166";"64411";"3286";"2,56";"4,22";"3578,4";"81,0";"0,47";"4,79"
"2B352";"Ville-di-Paraso";"26";"2522";"1962";"2311";"592";"308663";"8784";"2,88";"4,42";"11871,7";"157,3";"0,44";"3,31"
"2B353";"Ville-di-Pietrabugno";"80";"4354";"5119";"10593";"1498";"747791";"21342";"2,67";"4,18";"9347,4";"146,1";"0,54";"3,42"
"2B354";"Vivario";"13";"1269";"1139";"1061";"520";"165503";"5997";"3,15";"5,46";"12731,0";"145,3";"0,47";"2,19"
"2B355";"Volpajola";"16";"841";"1768";"1611";"755";"136782";"6832";"2,19";"4,00";"8548,9";"77,4";"0,68";"2,34"
"2B356";"Zalana";"3";"217";"274";"253";"66";"15336";"1241";"3,00";"5,00";"5112,0";"56,0";"0,56";"4,15"
"2B361";"Zilia";"13";"663";"689";"1841";"161";"127335";"3252";"3,46";"5,38";"9795,0";"184,8";"0,51";"4,28"
"2B365";"San-Gavino-di-Fiumorbo";"5";"379";"339";"99";"62";"26022";"1119";"2,40";"3,20";"5204,4";"76,8";"0,47";"5,47"
"2B366";"Chisa";"9";"569";"1069";"816";"440";"174151";"2244";"2,11";"2,22";"19350,1";"162,9";"0,65";"2,43"
